keypoint,rx_cm,ry_cm,rz_cm,tx_cm,ty_cm,tz_cm
Nose,2.097327103717139,3.871838393019457,0.7104755647694498,0.45422502504598516,0.2834888975997234,0.11910352639746935
L_Eye,2.08716402751628,3.8649311012756407,0.7348444519955408,0.45503571164183293,0.28336002841523517,0.12112542456186844
R_Eye,2.107950688758362,3.8718814046215493,0.7265356495412663,0.4531077204205972,0.283340095437651,0.11879985316692189
L_Ear,2.075557980829563,3.8588863882908395,0.7659920358103919,0.45398925357974684,0.2833537482817197,0.1250738228809117
R_Ear,2.142604212088901,3.880922058678793,0.7506008658354235,0.44671554549296605,0.28328167238933016,0.11953622441982442
L_Shoulder,2.0402245995768564,3.8634895165030465,0.6886454943871215,0.45722461550579574,0.2840803885431305,0.12743262853437085
R_Shoulder,2.1972752493024084,3.912782868165992,0.6862789448019749,0.43883227257227725,0.2838713601602585,0.11752096983632086
L_Elbow,2.0040817475454697,3.8586141299794257,0.6856915419156651,0.46223638414206364,0.28449681852511804,0.13267766209954407
R_Elbow,2.2333834698435213,3.9278543592122834,0.6470475841838523,0.43783692996589124,0.2842803577682979,0.11350732690087559
L_Wrist,2.010892365548998,3.8522872006248563,0.756878306343194,0.4663172958999865,0.28441742419406324,0.13365065547185784
R_Wrist,2.239402502130576,3.923188522641169,0.699813138506761,0.441441713055761,0.2843107430015674,0.11290606107372861
L_Hip,2.1150354866518395,3.8746981032169647,0.7868214929080284,0.4510605514217463,0.28425025047525115,0.1304193613511003
R_Hip,2.2123147097102036,3.9077102962162296,0.7672702068321887,0.4402947593277694,0.284232199972172,0.12351204960671476
L_Knee,2.1703736971443606,3.836992611929642,1.010438526245306,0.4464444061627306,0.28327977452511055,0.13995344401956117
R_Knee,2.266089830123151,3.872485540449986,0.9852215914561967,0.43710061825376934,0.2833295854558,0.1323909149500929
L_Ankle,2.251609168958418,3.7728884126439683,1.2480547523696712,0.4361445308149541,0.2811186939100261,0.15066906879186268
R_Ankle,2.3372116745899145,3.815269844751485,1.2069916599429886,0.4287096576880762,0.2813267033277843,0.1430134679412787
