# cameras: 0=6&3023cdee&0&0000,1=7&1b959837&0&0000
sync_index,port,frame_index,frame_time
0,0,0,0.0003390000001672888
0,1,0,0.0003390000001672888
1,0,1,0.034109799998987
1,1,1,0.034109799998987
2,0,2,0.0674178999997821
2,1,2,0.0674178999997821
3,0,3,0.10093589999996766
3,1,3,0.10093589999996766
4,0,4,0.13391939999928582
4,1,4,0.13391939999928582
5,0,5,0.16762849999940954
5,1,5,0.16762849999940954
6,0,6,0.20076329999938025
6,1,6,0.20076329999938025
7,0,7,0.23405730000013136
7,1,7,0.23405730000013136
8,0,8,0.2672879000001558
8,1,8,0.2672879000001558
9,0,9,0.3004458999985218
9,1,9,0.3004458999985218
10,0,10,0.33373570000003383
10,1,10,0.33373570000003383
11,0,11,0.36751600000025064
11,1,11,0.36751600000025064
12,0,12,0.4008438999990176
12,1,12,0.4008438999990176
13,0,13,0.43391329999940353
13,1,13,0.43391329999940353
14,0,14,0.4674145999997563
14,1,14,0.4674145999997563
15,0,15,0.5004780999988725
15,1,15,0.5004780999988725
16,0,16,0.5339675999985047
16,1,16,0.5339675999985047
17,0,17,0.5671898999989935
17,1,17,0.5671898999989935
18,0,18,0.600529599998481
18,1,18,0.600529599998481
19,0,19,0.634056299999429
19,1,19,0.634056299999429
20,0,20,0.6672099999996135
20,1,20,0.6672099999996135
21,0,21,0.7006117999990238
21,1,21,0.7006117999990238
22,0,22,0.7339864999994461
22,1,22,0.7339864999994461
23,0,23,0.7671786999999313
23,1,23,0.7671786999999313
24,0,24,0.8005255999996734
24,1,24,0.8005255999996734
25,0,25,0.8338692999986961
25,1,25,0.8338692999986961
26,0,26,0.8672697999991215
26,1,26,0.8672697999991215
27,0,27,0.9008445999988908
27,1,27,0.9008445999988908
28,0,28,0.9340099000000919
28,1,28,0.9340099000000919
29,0,29,0.9673107999988133
29,1,29,0.9673107999988133
30,0,30,1.000570999998672
30,1,30,1.000570999998672
31,0,31,1.0339901999996073
31,1,31,1.0339901999996073
32,0,32,1.0673790000000736
32,1,32,1.0673790000000736
33,0,33,1.1007571999998618
33,1,33,1.1007571999998618
34,0,34,1.134000999998534
34,1,34,1.134000999998534
35,0,35,1.1675473999985115
35,1,35,1.1675473999985115
36,0,36,1.2007260999998834
36,1,36,1.2007260999998834
37,0,37,1.2340512999999191
37,1,37,1.2340512999999191
38,0,38,1.2674448999987362
38,1,38,1.2674448999987362
39,0,39,1.3005087999990792
39,1,39,1.3005087999990792
40,0,40,1.334042700000282
40,1,40,1.334042700000282
41,0,41,1.3675623999988602
41,1,41,1.3675623999988602
42,0,42,1.4009315999992396
42,1,42,1.4009315999992396
43,0,43,1.4338804999988497
43,1,43,1.4338804999988497
44,0,44,1.467112399999678
44,1,44,1.467112399999678
45,0,45,1.5004939999998896
45,1,45,1.5004939999998896
46,0,46,1.5342623999986245
46,1,46,1.5342623999986245
47,0,47,1.5675343000002613
47,1,47,1.5675343000002613
48,0,48,1.6005594999987807
48,1,48,1.6005594999987807
49,0,49,1.6339811999987433
49,1,49,1.6339811999987433
50,0,50,1.6674170999995113
50,1,50,1.6674170999995113
51,0,51,1.7006072999993194
51,1,51,1.7006072999993194
52,0,52,1.7339804999992339
52,1,52,1.7339804999992339
53,0,53,1.7671712999999727
53,1,53,1.7671712999999727
54,0,54,1.8006219999988389
54,1,54,1.8006219999988389
55,0,55,1.8340355999989697
55,1,55,1.8340355999989697
56,0,56,1.867171399999279
56,1,56,1.867171399999279
57,0,57,1.9007832999996026
57,1,57,1.9007832999996026
58,0,58,1.9340446999995038
58,1,58,1.9340446999995038
59,0,59,1.9673002999988967
59,1,59,1.9673002999988967
60,0,60,2.0007103999996616
60,1,60,2.0007103999996616
61,0,61,2.0341884999998
61,1,61,2.0341884999998
62,0,62,2.0675329999994574
62,1,62,2.0675329999994574
63,0,63,2.100559599999542
63,1,63,2.100559599999542
64,0,64,2.1339485999997123
64,1,64,2.1339485999997123
65,0,65,2.1671222999993915
65,1,65,2.1671222999993915
66,0,66,2.200564499999018
66,1,66,2.200564499999018
67,0,67,2.2339074999999866
67,1,67,2.2339074999999866
68,0,68,2.2672523999990517
68,1,68,2.2672523999990517
69,0,69,2.3004213999993226
69,1,69,2.3004213999993226
70,0,70,2.3339792999995552
70,1,70,2.3339792999995552
71,0,71,2.367177799998899
71,1,71,2.367177799998899
72,0,72,2.4007647999987967
72,1,72,2.4007647999987967
73,0,73,2.434114199999385
73,1,73,2.434114199999385
74,0,74,2.4671779000000242
74,1,74,2.4671779000000242
75,0,75,2.500642400000288
75,1,75,2.500642400000288
76,0,76,2.5341189999999187
76,1,76,2.5341189999999187
